Repository URL,Stars,Forks,Contributors,Test Files,Description
https://github.com/trekhleb/javascript-algorithms,191431,30688,219,182,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings
https://github.com/airbnb/javascript,146822,26763,554,4,JavaScript Style Guide
https://github.com/twbs/bootstrap,172377,79143,1645,33,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web."
https://github.com/Chalarangelo/30-seconds-of-code,123821,12183,459,26,Coding articles to level up your development skills
https://github.com/axios/axios,106999,11151,505,43,Promise based HTTP client for the browser and node.js
https://github.com/mrdoob/three.js,106533,35793,2394,261,JavaScript 3D Library.
https://github.com/facebook/create-react-app,103269,27014,946,77,Set up a modern web app by running one command.
https://github.com/iptv-org/iptv,94482,3595,356,11,Collection of publicly available IPTV channels from all over the world
https://github.com/sveltejs/svelte,82946,4540,840,34,web development for the rest of us
https://github.com/typicode/json-server,74390,7172,90,3,Get a full fake REST API with zero coding in less than 30 seconds (seriously)
https://github.com/anuraghazra/github-readme-stats,73625,24926,277,27,:zap: Dynamically generated stats for your github readmes
https://github.com/hakimel/reveal.js,68989,16731,357,16,The HTML Presentation Framework
https://github.com/expressjs/express,67097,18800,362,91,"Fast, unopinionated, minimalist web framework for node."
https://github.com/chartjs/Chart.js,66014,11951,518,59,Simple HTML5 Charts using the <canvas> tag
https://github.com/lodash/lodash,60599,7066,261,4,"A modern JavaScript utility library delivering modularity, performance, & extras."
https://github.com/jquery/jquery,59528,20590,342,16,jQuery JavaScript Library
https://github.com/h5bp/html5-boilerplate,56984,12285,312,1,"A professional front-end template for building fast, robust, and adaptable web apps or sites."
https://github.com/prettier/prettier,50502,4510,763,2857,Prettier is an opinionated code formatter.
https://github.com/mozilla/pdf.js,50942,10328,484,24,PDF Reader in JavaScript
https://github.com/moment/moment,48091,7058,690,6,"Parse, validate, manipulate, and display dates in javascript."
https://github.com/iamkun/dayjs,47847,2357,340,92,⏰ Day.js 2kB immutable date-time library alternative to Moment.js with the same modern API
https://github.com/bigskysoftware/htmx,44877,1447,421,20,</> htmx - high power tools for HTML
https://github.com/dcloudio/uni-app,40842,3692,47,104,A cross-platform framework using Vue.js
https://github.com/impress/impress.js,37882,6647,89,12,It's a presentation framework based on the power of CSS3 transforms and transitions in modern browsers and inspired by the idea behind prezi.com.
https://github.com/preactjs/preact,37652,2001,357,112,⚛️ Fast 3kB React alternative with the same modern API. Components & Virtual DOM.
https://github.com/naptha/tesseract.js,36622,2295,83,9,Pure Javascript OCR for more than 100 Languages 📖🎉🖥
https://github.com/Kong/insomnia,36510,2076,341,182,"The open-source, cross-platform API client for GraphQL, REST, WebSockets, SSE and gRPC. With Cloud, Local and Git storage."
https://github.com/koajs/koa,35513,3224,242,73,Expressive middleware for node.js using ES2017 async functions
https://github.com/sahat/hackathon-starter,35008,8172,212,1,A boilerplate for Node.js web applications
https://github.com/zenorocha/clipboard.js,34135,3958,63,2,:scissors: Modern copy to clipboard. No Flash. Just 3kb gzipped :clipboard:
https://github.com/markedjs/marked,34821,3446,198,13,A markdown parser and compiler. Built for speed.
https://github.com/gulpjs/gulp,33071,4218,262,5,A toolkit to automate & enhance your workflow
https://github.com/typicode/husky,33604,1056,133,1,Git hooks made easy 🐶 woof!
https://github.com/fastify/fastify,33895,2420,822,208,"Fast and low overhead web framework, for Node.js"
https://github.com/TheAlgorithms/JavaScript,33222,5712,322,352,"Algorithms and Data Structures implemented in JavaScript for beginners, following best practices."
https://github.com/pcottle/learnGitBranching,31722,5841,342,13,An interactive git visualization and tutorial. Aspiring students of git can use this app to educate and challenge themselves towards mastery of git!
https://github.com/SortableJS/Sortable,30431,3732,178,5,Reorderable drag-and-drop lists for modern browsers and touch devices. No jQuery or framework required.
https://github.com/gchq/CyberChef,31424,3531,192,2,"The Cyber Swiss Army Knife - a web app for encryption, encoding, compression and data analysis"
https://github.com/webtorrent/webtorrent,30181,2767,203,44,⚡️ Streaming torrent client for the web
https://github.com/react-boilerplate/react-boilerplate,29530,6104,223,107,"🔥 A highly scalable, offline-first foundation with the best developer experience and a focus on performance and best practices."
https://github.com/fabricjs/fabric.js,30101,3578,329,28,"Javascript Canvas Library, SVG-to-Canvas (& canvas-to-SVG) Parser"
https://github.com/lutzroeder/netron,30390,2913,1,5,"Visualizer for neural network, deep learning and machine learning models"
https://github.com/docsifyjs/docsify,29593,5762,195,25,🃏 A magical documentation site generator.
https://github.com/caolan/async,28235,2402,271,3,Async utilities for node and the browser
https://github.com/jashkenas/backbone,28108,5366,353,1,"Give your JS App some Backbone with Models, Views, Collections, and Events"
https://github.com/jamiebuilds/the-super-tiny-compiler,28243,2879,6,1,:snowman: Possibly the smallest compiler ever
https://github.com/immerjs/immer,28370,859,200,2,Create the next immutable state by mutating the current one
https://github.com/digitalocean/nginxconfig.io,28115,2070,52,2,⚙️ NGINX config generator on steroids 💉
https://github.com/HeyPuter/puter,33123,2459,266,51,"🌐 The Internet OS! Free, Open-Source, and Self-Hostable."
https://github.com/jashkenas/underscore,27391,5499,327,2,JavaScript's utility _ belt
https://github.com/Automattic/mongoose,27250,3863,979,178,MongoDB object modeling designed to work in an asynchronous environment.
https://github.com/tj/commander.js,27369,1717,191,113,node.js command-line interfaces made easy
https://github.com/codemirror/codemirror5,27059,4963,1003,48,"In-browser code editor (version 5, legacy)"
https://github.com/ajaxorg/ace,26961,5294,593,101,Ace (Ajax.org Cloud9 Editor)
https://github.com/swagger-api/swagger-ui,27412,9096,597,96,"Swagger UI is a collection of HTML, JavaScript, and CSS assets that dynamically generate beautiful documentation from a Swagger-compliant API."
https://github.com/remy/nodemon,26570,1741,182,32,Monitor for any changes in your node.js application and automatically restart the server - perfect for development
https://github.com/rstacruz/nprogress,26321,1808,34,1,"For slim progress bars like on YouTube, Medium, etc"
https://github.com/quasarframework/quasar,26622,3613,766,159,Quasar Framework - Build high-performance VueJS user interfaces in record time
https://github.com/select2/select2,25970,6247,559,39,"Select2 is a jQuery based replacement for select boxes. It supports searching, remote data sets, and infinite scrolling of results."
https://github.com/JakeChampion/fetch,25892,2837,84,1,A window.fetch JavaScript polyfill.
https://github.com/Modernizr/Modernizr,25675,2973,333,24,Modernizr is a JavaScript library that detects HTML5 and CSS3 features in the user’s browser.
https://github.com/rollup/rollup,25792,1593,412,38,Next-generation ES module bundler
